accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,ground
-1.15,-0.41,-9.82,-0.0625,-0.0625,0,8.8125,-7.4375,177.8125,0
-1.14,-0.4,-9.74,0,0,0.125,8.8125,-7.4375,177.8125,0
-1.15,-0.43,-9.79,0.0625,0.125,-0.0625,8.8125,-7.4375,177.8125,0
-1.15,-0.4,-9.78,0,0,-0.0625,8.8125,-7.4375,177.8125,0
-1.14,-0.42,-9.7,-0.125,-0.6875,0.1875,8.8125,-7.4375,177.8125,0
-1.11,-0.43,-9.75,0.3125,0.625,-0.125,8.8125,-7.25,177.8125,0
-1.1,-0.45,-9.72,-0.1875,-0.4375,-0.0625,8.8125,-7.125,177.8125,0
-1.17,-0.4,-9.75,-0.5625,-0.0625,0,8.75,-7.625,178.0625,0
-1.16,-0.39,-9.84,0.25,0,0.0625,8.75,-7.625,178.0625,0
-1.03,-0.43,-9.73,0.125,4.0625,-0.875,8.75,-6.875,177.625,0
-0.92,-0.46,-9.76,0.5,-1.375,-0.125,8.625,-6.25,177.3125,0
-0.95,-0.41,-9.73,-0.1875,-0.4375,0.1875,8.625,-6.3125,177.4375,0
-1.02,-0.46,-9.77,0.4375,0.1875,0.125,8.625,-6.4375,177.375,0
-1.02,-0.45,-9.8,0.25,0.125,-0.25,8.625,-6.5,177.4375,0
-1.02,-0.44,-9.72,-0.3125,0.5,0,8.625,-6.4375,177.4375,0
-1.01,-0.42,-9.72,-0.375,-0.6875,0.3125,8.625,-6.4375,177.625,0
-1.01,-0.45,-9.8,-0.4375,-0.0625,-0.125,8.625,-6.4375,177.6875,0
-1.01,-0.45,-9.75,-0.3125,-0.0625,0.0625,8.625,-6.4375,177.6875,0
-0.98,-0.44,-9.76,-0.1875,0.1875,-0.0625,8.625,-6.4375,177.6875,0
-1.02,-0.46,-9.8,-0.125,0.0625,0,8.625,-6.4375,177.6875,0
-1.13,-0.44,-9.68,-0.125,-2.8125,0.9375,8.75,-7.125,177.875,0
-1.16,-0.4,-9.79,-0.4375,0.375,-0.1875,8.8125,-7.4375,178.125,0
-1.16,-0.4,-9.75,0.0625,-0.3125,0.1875,8.8125,-7.4375,178.125,0
-1.14,-0.37,-9.7,0.125,-0.25,0.1875,8.8125,-7.4375,178.125,0
-1.15,-0.36,-9.81,0.0625,0.1875,0.0625,8.8125,-7.4375,178.125,0
-0.91,0.15,-10.32,-9.25,9.625,-2,8.4375,-6.5,179.4375,0
-1.24,-0.71,-9.51,4.4375,-2.0625,0.6875,9.0625,-8.3125,177.5,0
-1.19,-0.15,-10.11,-4.3125,2.5625,1.5,9.625,-7.9375,178.3125,0
-1.16,-0.08,-9.85,4.6875,-8.1875,2.125,9.75,-6.3125,178,0
-1.27,-0.49,-9.52,-0.125,-0.9375,1,10.375,-7.5,177.75,0
-1.21,-0.37,-9.76,0.875,-0.5,0.1875,10.3125,-7.125,178.25,0
-1.16,-0.33,-9.71,-0.125,-0.1875,0.1875,10.3125,-7.125,178.25,0
