accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,ground
1.11,0.77,-8.73,24.1875,-44.625,0.25,270.875,11.125,-174,0
1.44,1.3,-9.53,1.9375,-1.4375,-0.5,271.25,8.6875,-173.625,1
1.92,2.36,-9.71,21.1875,-25.5625,-10.3125,270.875,8.625,-172.375,1
1.38,1.4,-9.3,13.375,3,2.6875,270.75,7.3125,-171.875,1
1.18,1.19,-9.86,-1.0625,0.5,0.1875,270.8125,7.4375,-172.1875,1
1.04,1.07,-9.97,-2.0625,-0.3125,-0.3125,270.5625,6,-174,1
1.26,1.05,-9.85,0.4375,-1.0625,-0.3125,270.625,6.1875,-173.875,1
1.05,1,-9.71,0,0.0625,0.25,270.625,6.0625,-173.75,1
1.05,1,-9.81,-0.125,-0.1875,0.0625,270.625,6.125,-173.75,1
1.23,1.28,-9.57,-1.25,0.9375,0.0625,270.6875,7.0625,-172.125,1
1.14,1.01,-9.73,-0.25,0.1875,-0.0625,270.6875,6.25,-173.875,1
1.14,1,-9.82,-0.125,0.6875,0.25,270.6875,6,-173.875,1
1.12,1,-9.69,0.1875,0,-0.0625,270.6875,6.0625,-173.875,1
1.13,0.99,-9.7,-0.3125,0.0625,0.0625,270.6875,6.0625,-173.875,1
1.11,1.01,-9.84,-0.125,-0.1875,0.1875,270.6875,6.0625,-173.875,1
1.11,1,-9.72,-0.1875,-0.1875,-0.0625,270.6875,6.0625,-173.875,1
1.13,1.01,-9.8,0.0625,-0.125,0.0625,270.6875,6.0625,-173.875,1
1.13,1,-9.8,0.125,-0.1875,-0.0625,270.6875,6.0625,-173.875,1
1.15,1.02,-9.73,-0.125,0.0625,-0.125,270.6875,6.0625,-173.875,1
1.14,1.01,-9.75,0.3125,0.25,0,270.6875,6.0625,-173.875,1
1.13,1,-9.83,0.0625,0.125,0.25,270.6875,6.0625,-173.875,1
1.15,1.01,-9.74,0.0625,0,0,270.6875,6.0625,-173.875,1
1.13,1.03,-9.82,-0.0625,0,-0.0625,270.6875,6.0625,-173.875,1
1.13,0.99,-9.75,0.0625,-0.1875,0.0625,270.6875,6.0625,-173.875,1
1.14,1,-9.74,0.0625,-0.25,0,270.6875,6.0625,-173.875,1
1.13,1.02,-9.83,-0.0625,-0.125,0,270.6875,6.0625,-173.875,1
1.15,1,-9.7,0.3125,0.125,-0.125,270.6875,6.0625,-173.875,1
1.13,1.01,-9.76,0,-0.0625,0.0625,270.6875,6.0625,-173.875,1
1.13,1.03,-9.75,0.0625,-0.125,-0.0625,270.6875,6.0625,-173.875,1
1.13,1.01,-9.73,0.0625,0.0625,-0.0625,270.6875,6.0625,-173.875,1
1.15,1.01,-9.78,-0.0625,-0.125,0,270.6875,6.0625,-173.875,1
1.13,0.99,-9.74,-0.125,0,-0.125,270.6875,6.0625,-173.875,1
1.13,1.01,-9.77,-0.0625,0,0.0625,270.6875,6.0625,-173.875,1
1.15,0.99,-9.81,-0.0625,0,0,270.6875,6.0625,-173.875,1
1.15,1.01,-9.72,-0.0625,0,0.0625,270.6875,6.0625,-173.875,1
1.14,0.99,-9.74,-0.0625,-0.1875,-0.0625,270.6875,6.0625,-173.875,1
1.13,0.98,-9.84,0.0625,0,-0.0625,270.6875,6.0625,-173.875,1
1.15,1.02,-9.72,0.1875,0.0625,0,270.6875,6.0625,-173.875,1
1.14,0.99,-9.78,0.125,-0.125,-0.125,270.6875,6.0625,-173.875,1
1.15,1.01,-9.75,-0.125,-0.0625,0.0625,270.6875,6.0625,-173.875,1
1.14,0.99,-9.68,-0.125,0.125,0,270.6875,6.0625,-173.875,1
1.13,1.02,-9.74,-0.125,0,0,270.6875,6.0625,-173.875,1
1.15,1.02,-9.74,0,0.125,0,270.6875,6.0625,-173.875,1
