accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,ground
-1.62,-0.16,-9.42,-0.0625,1,-0.3125,320.1875,-9.4375,178.75,-1
-1.54,-0.33,-9.53,2.0625,-0.25,-0.3125,320.4375,-9.3125,178.0625,0
-1.56,-0.26,-9.45,0.6875,-0.75,0.375,320.125,-9.375,178.125,0
-1.48,-0.37,-9.47,-6.1875,2.1875,-1.0625,319.8125,-9.1875,178.8125,0
-1.43,-0.5,-9.39,2.5625,0.375,-0.1875,320.5,-9.375,178.625,0
-1.46,-0.33,-9.47,0.5,-0.5,-0.5,320.4375,-9.1875,178.25,0
-1.32,-0.31,-9.48,0.4375,-0.3125,-0.25,320.4375,-8.5,178.375,0
-1.26,-0.23,-9.47,0.25,-0.6875,0.3125,320.4375,-8.4375,178.375,0
-1.29,-0.27,-9.49,0.25,-1.125,0.0625,320.4375,-8.625,178.4375,0
-1.31,-0.3,-9.56,-0.0625,0.5,0,320.4375,-8.75,178.4375,0
-1.33,-0.28,-9.42,0.125,0,0.0625,320.4375,-8.6875,178.4375,0
-1.31,-0.29,-9.44,0,0.125,0.1875,320.4375,-8.6875,178.4375,0
-1.32,-0.32,-9.52,0.3125,-0.25,0,320.4375,-8.6875,178.4375,0
-1.33,-0.33,-9.42,-0.1875,0.25,-0.0625,320.4375,-8.6875,178.4375,0
-1.3,-0.31,-9.45,0.125,-0.0625,-0.0625,320.4375,-8.6875,178.4375,0
-1.32,-0.33,-9.46,-0.0625,-0.125,0,320.4375,-8.6875,178.4375,0
-1.29,-0.3,-9.54,0.125,-0.1875,0.0625,320.4375,-8.6875,178.4375,0
-1.28,-0.3,-9.5,0,-0.1875,-0.0625,320.4375,-8.6875,178.4375,0
-1.31,-0.3,-9.46,0,0.25,-0.125,320.4375,-8.6875,178.4375,0
-1.32,-0.32,-9.5,0.25,0.0625,-0.0625,320.4375,-8.6875,178.4375,0
-1.3,-0.32,-9.54,0.125,0.0625,0,320.4375,-8.6875,178.4375,0
-1.3,-0.31,-9.46,-0.0625,-0.0625,0,320.4375,-8.6875,178.4375,0
-1.3,-0.3,-9.45,0.0625,0.0625,-0.0625,320.4375,-8.6875,178.4375,0
-1.29,-0.31,-9.55,-0.125,0,0.0625,320.4375,-8.6875,178.4375,0
-1.29,-0.3,-9.57,-0.0625,0,0.0625,320.4375,-8.6875,178.4375,0
-1.3,-0.31,-9.48,-0.125,0.0625,0.0625,320.4375,-8.6875,178.4375,0
-1.32,-0.31,-9.47,0.125,0.1875,-0.0625,320.4375,-8.6875,178.4375,0
-1.33,-0.3,-9.51,0,0,0,320.4375,-8.6875,178.4375,0
-1.28,-0.3,-9.45,-0.0625,-0.0625,0,320.4375,-8.6875,178.4375,0
-1.3,-0.3,-9.5,0.3125,0.0625,0,320.4375,-8.6875,178.4375,0
-1.29,-0.31,-9.5,0.0625,0.0625,-0.125,320.4375,-8.6875,178.4375,0
-1.31,-0.3,-9.49,0,0,0.0625,320.4375,-8.6875,178.4375,0
-1.31,-0.32,-9.47,0,-0.0625,0,320.4375,-8.6875,178.4375,0
-1.31,-0.27,-9.49,-0.0625,0,0.0625,320.4375,-8.6875,178.4375,0
-1.29,-0.29,-9.55,-0.0625,-0.0625,0,320.4375,-8.6875,178.4375,0
-1.29,-0.28,-9.45,-0.125,0.0625,0,320.4375,-8.6875,178.4375,0
-1.3,-0.33,-9.47,0.125,0,0,320.4375,-8.6875,178.4375,0
-1.31,-0.32,-9.57,-0.1875,0,0.0625,320.4375,-8.6875,178.4375,0
-1.29,-0.3,-9.4,0,0.125,-0.1875,320.4375,-8.6875,178.4375,0
-1.32,-0.3,-9.45,-0.125,-0.0625,-0.125,320.4375,-8.6875,178.4375,0
-1.3,-0.32,-9.51,-0.125,0.125,-0.0625,320.4375,-8.6875,178.4375,0
-1.28,-0.31,-9.57,-0.125,0,0.0625,320.4375,-8.6875,178.4375,0
-1.29,-0.3,-9.44,0.0625,0.0625,-0.125,320.4375,-8.6875,178.4375,0
-1.31,-0.31,-9.44,0.1875,0,0.0625,320.4375,-8.6875,178.4375,0
-1.29,-0.35,-9.54,0.5,-0.125,0,320.4375,-8.6875,178.4375,0
-1.3,-0.33,-9.37,-0.625,-0.0625,0.3125,320.375,-8.6875,178.4375,0
-1.14,0,-9.68,-3.9375,2.75,-0.875,320.125,-7.9375,179.625,0
-1.45,-0.41,-9.37,1.25,-0.625,-0.375,320.75,-8.8125,178.1875,0
-1.33,-0.31,-9.55,-2.4375,0.4375,0.25,320.6875,-8.6875,178.5625,0
-1.46,-0.3,-9.44,1.0625,0.875,-0.8125,320.625,-8.4375,178.875,0
-1.21,-0.29,-9.53,0.1875,3,0.1875,320.5625,-7.25,178.8125,0
-1.05,-0.29,-9.58,0,1.125,-0.3125,320.5625,-6.8125,178.875,0
-0.96,-0.33,-9.47,1.9375,1.875,-0.5,320.5625,-6.125,178.5625,0
-0.91,-0.28,-9.55,0.25,-2.25,0.75,320.5,-5.875,178.5625,0
-1.01,-0.31,-9.52,0.5625,-0.8125,-0.125,320.5625,-6.375,178.625,0
-0.85,-0.43,-9.59,0,0.875,-0.3125,320.3125,-5.1875,178.125,1
-0.84,-0.42,-9.46,-0.1875,0.1875,-0.0625,320.3125,-5.125,177.9375,1
-0.83,-0.45,-9.43,2,0.9375,-0.75,320.3125,-5.0625,177.8125,1
-0.79,-0.45,-9.56,-0.3125,-0.25,0.1875,320.25,-5.0625,177.8125,1
-0.84,-0.47,-9.48,0.0625,0.125,-0.125,320.25,-5.0625,177.8125,1
-0.8,-0.45,-9.52,-0.0625,0.0625,0.0625,320.25,-5.0625,177.8125,1
-0.79,-0.44,-9.59,0.125,-0.0625,0,320.25,-5.0625,177.8125,1
-0.82,-0.45,-9.48,0,-0.125,0,320.25,-5.0625,177.8125,1
-0.82,-0.45,-9.49,-0.0625,0.0625,0.125,320.25,-5.0625,177.8125,1
-0.78,-0.45,-9.55,0.0625,-0.0625,0.125,320.25,-5.0625,177.8125,1
-0.82,-0.45,-9.58,-0.0625,0,0.0625,320.25,-5.0625,177.8125,1
